;Abgeordnetenhauswahl 2023;;;
;;;;
;Bezirk;Wahlberechtigte;Wählende;Wahlbeteiligung
;;Anzahl;;in %
;;;;
;;Berlin;;
01;Mitte;203886;120218;59,0
02;Friedrichshain-Kreuzberg;167015;107749;64,5
03;Pankow;280603;189607;67,6
04;Charlottenburg-Wilmersdorf;214149;142157;66,4
05;Spandau;157093;89377;56,9
06;Steglitz-Zehlendorf;214308;152466;71,1
07;Tempelhof-Schöneberg;228306;149122;65,3
08;Neukölln;193111;111691;57,8
09;Treptow-Köpenick;205670;131557;64,0
10;Marzahn-Hellersdorf;196840;110783;56,3
11;Lichtenberg;197377;117697;59,6
12;Reinickendorf;173418;107134;61,8
;Berlin;2431776;1529558;62,9
