Ausländer und eingebürgerte Personen in Berlin 2022;;;;;;;
Bezirk ¹;"Bevölkerung
insgesamt";"Ausländische
Bevölkerung";"Ausländeranteil
in %";Eingebürgerte Personen;;;
;;;;;;;
Mitte;388.910;141.393;36,4;1.279;01;;
Friedrichshain-Kreuzberg;283.633;80.069;28,2;1.400;02;;
Pankow;415.528;74.458;17,9;432;03;;
Charlottenburg-Wilmersdorf;317.538;67.202;21,2;1.234;04;;
Spandau;248.521;59.661;24,0;617;05;;
Steglitz-Zehlendorf;294.115;40.140;13,6;264;06;;
Tempelhof-Schöneberg;346.799;72.999;21,0;1.106;07;;
Neukölln;321.319;86.778;27,0;1.023;08;;
Treptow-Köpenick;285.774;40.090;14,0;313;09;;
Marzahn-Hellersdorf;287.277;50.519;17,6;293;10;;
Lichtenberg;303.241;65.953;21,7;419;11;;
Reinickendorf;262.596;55.087;21,0;495;12;;
Berlin;3.755.251;834.349;22,2;8.875;;;
;;;;;;;
1 Ergebnisse für Bezirke geschätzt ;;;;;;;
