1. Allgemeines;;;;
Inhalt der Daten;"Endgültige Ergebnisse des Volksentscheids ""Tempelhof bleibt Verkehrsflughafen!"" am 27. April 2008";;;
Land;Berlin;;;
Regionale Ebene;"Stimmbezirke
";;;
Zahl der Datensätze;1 450;;;
Jahr;2008;;;
;;;;
2. Beschreibung der Felder;;;;
Feldname;Feldinhalt;;;
Bezirksnummer;Nr. des Berliner Bezirkes;;;
Bezirksname;Name des Berliner Bezirkes;;;
Stimmbezirk;Nr. des Stimmbezirkes;;;
Stimmbezirksart;Art des Stimmbezirkes (Briefwahlbezirk, Urnenwahlbezirk);;;
Stimmberechtigte insgesamt;Zahl der Stimmberechtigten insgesamt;;;
Stimmberechtigte A1;Zahl der Stimmberechtigten im Abstimmungsverzeichnis ohne Abstimmungsschein ;;;
Stimmberechtigte A2;Zahl der Stimmberechtigten im Abstimmungsverzeichnis mit Abstimmungsschein ;;;
Stimmberechtigte A3;Zahl der Stimmberechtigten, die am Abstimmungstag einen Abstimmungsschein erhielten, ohne dass sie im abgeschlossenen Abstimmungsverzeichnis eingetragen waren (§ 22 Nr. 1 LWO i.V.m. § 43 AbstG) ;;;
Teilnehmer;Zahl der Teilnehmer ;;;
Teilnehmer B1;Zahl der Teilnehmer mit Abstimmungsschein;;;
Ungültige Stimmen;Zahl der ungültigen Stimmen ;;;
Gültige Stimmen;Zahl der gültigen Stimmen ;;;
;Zahl der gültigen Stimmen für:;;;
JA;JA;;;
NEIN;NEIN;;;
;;;;
3. Abstimmungsfrage;;;;
Abgestimmt wurde über den folgenden Beschluss:;;;;
„Der Stadtflughafen Tempelhof ergänzt und entlastet den Verkehrsflughafen Berlin-Brandenburg International (BBI). Der Berliner Senat wird aufgefordert, sofort die Schließungsabsichten aufzugeben und den Widerruf der Betriebsgenehmigung aufzuheben. Tempelhof muss Verkehrsflughafen bleiben!“  ;;;;
Abstimmungsfrage: Stimmen Sie diesem Beschluss zu? Ja/Nein ;;;;
;;;;
4. Ergebnis;;;;
Der Beschluss wurde nicht angenommen.;;;;
