;Natürliche Bevölkerungsbewegung in Berlin 2022;;;;;
;Bezirk;Lebendgeborene;Gestorbene;Lebendgeborene;Gestorbene;
;;Anzahl;;je 1000 Einwohner¹;;
;;;;;;
01;Mitte;4.010;2.877;x;x;
02;Friedrichshain-Kreuzberg;2.832;1.888;x;x;
03;Pankow;3.860;3.751;x;x;
04;Charlottenburg-Wilmersdorf;2.715;3.680;x;x;
05;Spandau;2.430;3.164;x;x;
06;Steglitz-Zehlendorf;2.209;3.964;x;x;
07;Tempelhof-Schöneberg;3.347;3.683;x;x;
08;Neukölln;3.319;3.232;x;x;
09;Treptow-Köpenick;2.682;3.497;x;x;
10;Marzahn-Hellersdorf;2.775;2.977;x;x;
11;Lichtenberg;3.108;3.388;x;x;
12;Reinickendorf;2.442;3.471;x;x;
;Berlin;35.729;39.572;9,6;10,6;
;;;;;;
;"1 bezogen auf die Durchschnittsbevölkerung; aus methodischen Gründen keine Angabe für die Berliner Bezirke";;;;;
